SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
22019,1610612760,OKC,Oklahoma City Thunder,0021901265,2020-08-05,OKC @ LAL,W,242,105,34,79,0.43,5,24,0.208,32,36,0.889,4,48,52,17,9,2,13,23,19.0,2019-20
22019,1610612760,OKC,Oklahoma City Thunder,0021901275,2020-08-07,OKC @ MEM,L,240,92,34,97,0.351,13,43,0.302,11,15,0.733,12,24,36,19,12,2,10,20,-29.0,2019-20
22019,1610612760,OKC,Oklahoma City Thunder,0021901285,2020-08-09,OKC vs. WAS,W,240,121,43,84,0.512,18,39,0.462,17,22,0.773,8,35,43,25,7,3,12,18,18.0,2019-20
22019,1610612760,OKC,Oklahoma City Thunder,0021901292,2020-08-10,OKC @ PHX,L,241,101,35,90,0.389,13,39,0.333,18,21,0.857,8,32,40,24,10,2,19,23,-27.0,2019-20
22019,1610612760,OKC,Oklahoma City Thunder,0021901306,2020-08-12,OKC vs. MIA,W,242,116,39,89,0.438,16,42,0.381,22,27,0.815,14,36,50,20,7,4,16,19,1.0,2019-20
22019,1610612760,OKC,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,264,103,38,106,0.358,14,44,0.318,13,22,0.591,11,37,48,18,5,6,16,29,-4.0,2019-20
22020,1610612760,OKC,Oklahoma City Thunder,0022000022,2020-12-26,OKC @ CHA,W,240,109,40,88,0.455,10,36,0.278,19,24,0.792,9,45,54,25,10,7,16,21,2.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000043,2020-12-28,OKC vs. UTA,L,239,109,40,86,0.465,15,38,0.395,14,19,0.737,7,30,37,21,9,5,15,16,-1.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000052,2020-12-29,OKC vs. ORL,L,240,107,43,87,0.494,11,34,0.324,10,19,0.526,10,37,47,20,3,7,20,18,-11.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000067,2020-12-31,OKC vs. NOP,L,239,80,30,80,0.375,15,48,0.313,5,15,0.333,7,33,40,24,6,3,19,20,-33.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000081,2021-01-02,OKC @ ORL,W,240,108,38,86,0.442,13,41,0.317,19,21,0.905,6,46,52,22,5,5,10,17,9.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000096,2021-01-04,OKC @ MIA,L,240,90,29,79,0.367,13,48,0.271,19,27,0.704,6,32,38,20,6,4,15,15,-28.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000114,2021-01-06,OKC @ NOP,W,241,111,40,87,0.46,19,46,0.413,12,16,0.75,4,34,38,28,10,5,14,18,1.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000125,2021-01-08,OKC @ NYK,W,238,101,38,87,0.437,11,34,0.324,14,21,0.667,11,51,62,16,2,7,11,19,12.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000143,2021-01-10,OKC @ BKN,W,240,129,49,90,0.544,15,39,0.385,16,17,0.941,3,31,34,24,12,4,10,22,13.0,2020-21
